1,14,6,1,2,12,18,13,20,17,0,6,8,7,13
19,4,8,5,23,2,16,6,16,6,24,0,21,13,23
5,14,8,8,18,5,4,3,4,16,4,2,6,18,17
20,7,17,20,1,18,15,2,22,4,20,5,9,13,2
23,14,5,9,7,15,0,6,10,3,8,7,16,7,23
16,5,1,21,2,23,18,9,18,2,3,5,0,18,13
13,2,21,0,3,24,8,0,1,16,22,11,22,1,7
2,23,14,6,22,16,8,21,22,24,9,12,4,9,8
14,0,11,6,16,6,10,1,5,9,7,19,1,5,13
7,4,8,11,16,2,20,3,4,5,23,5,11,15,0
4,9,0,3,7,18,23,7,13,16,10,7,1,11,3
1,24,11,11,20,13,16,7,8,17,19,5,9,6,3
7,6,18,23,17,0,3,21,4,5,23,13,16,7,0
24,22,11,18,12,24,5,18,9,7,18,24,23,21,19
11,3,18,4,15,13,11,6,20,12,8,20,14,20,22
